# file...... output/Gen_1_meter.csv
# date...... Tue Feb 28 22:47:23 2023
# user...... ananth
# host...... (null)
# target.... diesel_dg 1
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,power_out_A.real,power_out_A.imag,power_out_A, power_out_B.real,power_out_B.imag,power_out_B, power_out_C.real,power_out_C.imag, power_out_C, pwr_electric.real,pwr_electric.imag,pwr_electric
2001-08-01 13:00:08.964000 PDT,+262128.713953,+221018.510739,+262128.713953+221018.510739i,+111717.103537,+132706.169223,+111717.103537+132706.169223j,+57905.9646313,+75312.738691,+57905.9646313+75312.738691j,+431751.782122,+429037.418652,+431751.782122+429037.418652i
2001-08-01 13:00:08.966000 PDT,+262024.767306,+221020.171061,+262024.767306+221020.171061i,+111610.92673,+132684.576219,+111610.92673+132684.576219j,+57780.8969818,+75296.0144463,+57780.8969818+75296.0144463j,+431416.591018,+429000.761727,+431416.591018+429000.761727i
2001-08-01 13:00:08.968000 PDT,+261920.70035,+221022.291337,+261920.70035+221022.291337i,+111504.54575,+132663.433388,+111504.54575+132663.433388j,+57655.6275068,+75279.8444761,+57655.6275068+75279.8444761j,+431080.873607,+428965.569201,+431080.873607+428965.569201i
2001-08-01 13:00:08.970000 PDT,+261816.709725,+221025.162329,+261816.709725+221025.162329i,+111398.116862,+132643.102968,+111398.116862+132643.102968j,+57530.3619623,+75264.648252,+57530.3619623+75264.648252j,+430745.188549,+428932.913549,+430745.188549+428932.913549i
2001-08-01 13:00:08.972000 PDT,+261713.082067,+221028.888451,+261713.082067+221028.888451i,+111291.922992,+132623.762359,+111291.922992+132623.762359j,+57405.4343244,+75250.6119295,+57405.4343244+75250.6119295j,+430410.439383,+428903.262739,+430410.439383+428903.262739i
2001-08-01 13:00:08.974000 PDT,+261610.066425,+221033.42493,+261610.066425+221033.42493i,+111186.232678,+132605.412254,+111186.232678+132605.412254j,+57281.1509342,+75237.714705,+57281.1509342+75237.714705j,+430077.450037,+428876.551889,+430077.450037+428876.551889i
2001-08-01 13:00:08.976000 PDT,+261507.81627,+221038.656067,+261507.81627+221038.656067i,+111081.224221,+132587.950576,+111081.224221+132587.950576j,+57157.7120252,+75225.8244108,+57157.7120252+75225.8244108j,+429746.752515,+428852.431054,+429746.752515+428852.431054i
2001-08-01 13:00:08.978000 PDT,+261406.393705,+221044.45971,+261406.393705+221044.45971i,+110976.977937,+132571.247456,+110976.977937+132571.247456j,+57035.2084975,+75214.7855425,+57035.2084975+75214.7855425j,+429418.58014,+428830.492709,+429418.58014+428830.492709i
2001-08-01 13:00:08.980000 PDT,+261305.802611,+221050.740167,+261305.802611+221050.740167i,+110873.505667,+132555.191585,+110873.505667+132555.191585j,+56913.6568926,+75204.4693055,+56913.6568926+75204.4693055j,+429092.96517,+428810.401058,+429092.96517+428810.401058i
2001-08-01 13:00:08.982000 PDT,+261206.021957,+221057.435017,+261206.021957+221057.435017i,+110770.78622,+132539.706582,+110770.78622+132539.706582j,+56793.0382713,+75194.7879817,+56793.0382713+75194.7879817j,+428769.846449,+428791.929581,+428769.846449+428791.929581i
2001-08-01 13:00:08.984000 PDT,+261107.028019,+221064.508027,+261107.028019+221064.508027i,+110668.791642,+132524.748193,+110668.791642+132524.748193j,+56673.3258026,+75185.6887982,+56673.3258026+75185.6887982j,+428449.145464,+428774.945018,+428449.145464+428774.945018i
2001-08-01 13:00:08.986000 PDT,+261008.804561,+221071.937746,+261008.804561+221071.937746i,+110567.500973,+132510.293167,+110567.500973+132510.293167j,+56554.498541,+75177.1402756,+56554.498541+75177.1402756j,+428130.804075,+428759.37119,+428130.804075+428759.37119i
2001-08-01 13:00:08.988000 PDT,+260911.343861,+221079.707707,+260911.343861+221079.707707i,+110466.903503,+132496.32761,+110466.903503+132496.32761j,+56436.5441382,+75169.1194628,+56436.5441382+75169.1194628j,+427814.791503,+428745.154779,+427814.791503+428745.154779i
2001-08-01 13:00:08.990000 PDT,+260814.642944,+221087.800887,+260814.642944+221087.800887i,+110366.995772,+132482.839063,+110366.995772+132482.839063j,+56319.4554187,+75161.604172,+56319.4554187+75161.604172j,+427501.094135,+428732.244122,+427501.094135+428732.244122i
2001-08-01 13:00:08.992000 PDT,+260718.699109,+221096.198053,+260718.699109+221096.198053i,+110267.77685,+132469.81313,+110267.77685+132469.81313j,+56203.2258083,+75154.5704501,+56203.2258083+75154.5704501j,+427189.701767,+428720.581633,+427189.701767+428720.581633i
2001-08-01 13:00:08.994000 PDT,+260623.506787,+221104.878561,+260623.506787+221104.878561i,+110169.244687,+132457.233247,+110169.244687+132457.233247j,+56087.8459863,+75147.9931784,+56087.8459863+75147.9931784j,+426880.597461,+428710.104987,+426880.597461+428710.104987i
2001-08-01 13:00:08.996000 PDT,+260529.05626,+221113.821948,+260529.05626+221113.821948i,+110071.394214,+132445.081964,+110071.394214+132445.081964j,+55973.302626,+75141.8479926,+55973.302626+75141.8479926j,+426573.7531,+428700.751905,+426573.7531+428700.751905i
2001-08-01 13:00:08.998000 PDT,+260435.333836,+221123.009382,+260435.333836+221123.009382i,+109974.217078,+132433.342407,+109974.217078+132433.342407j,+55859.5786983,+75136.1130164,+55859.5786983+75136.1130164j,+426269.129613,+428692.464805,+426269.129613+428692.464805i
2001-08-01 13:00:09.000000 PDT,+260342.322807,+221132.424513,+260342.322807+221132.424513i,+109877.702328,+132421.999214,+109877.702328+132421.999214j,+55746.6546154,+75130.7698015,+55746.6546154+75130.7698015j,+425966.67975,+428685.193528,+425966.67975+428685.193528i
2001-08-01 13:00:09.002000 PDT,+260250.004572,+221142.05371,+260250.004572+221142.05371i,+109781.837334,+132411.038891,+109781.837334+132411.038891j,+55634.509592,+75125.8034955,+55634.509592+75125.8034955j,+425666.351498,+428678.896096,+425666.351498+428678.896096i
2001-08-01 13:00:09.004000 PDT,+260158.359599,+221151.885892,+260158.359599+221151.885892i,+109686.608579,+132400.449647,+109686.608579+132400.449647j,+55523.1226427,+75121.2024332,+55523.1226427+75121.2024332j,+425368.090822,+428673.537972,+425368.090822+428673.537972i
2001-08-01 13:00:09.006000 PDT,+260067.368122,+221161.912187,+260067.368122+221161.912187i,+109592.002173,+132390.221055,+109592.002173+132390.221055j,+55412.4733164,+75116.9575252,+55412.4733164+75116.9575252j,+425071.843611,+428669.090767,+425071.843611+428669.090767i
2001-08-01 13:00:09.008000 PDT,+259977.01054,+221172.125579,+259977.01054+221172.125579i,+109498.004076,+132380.343657,+109498.004076+132380.343657j,+55302.5419569,+75113.061584,+55302.5419569+75113.061584j,+424777.556573,+428665.53082,+424777.556573+428665.53082i
2001-08-01 13:00:09.010000 PDT,+259887.267703,+221182.520595,+259887.267703+221182.520595i,+109404.600213,+132370.808717,+109404.600213+132370.808717j,+55193.3099376,+75109.5088046,+55193.3099376+75109.5088046j,+424485.177854,+428662.838117,+424485.177854+428662.838117i
2001-08-01 13:00:09.012000 PDT,+259798.121116,+221193.093108,+259798.121116+221193.093108i,+109311.776468,+132361.60808,+109311.776468+132361.60808j,+55084.7596165,+75106.2944021,+55084.7596165+75106.2944021j,+424194.657201,+428660.995591,+424194.657201+428660.995591i
2001-08-01 13:00:09.014000 PDT,+259709.553102,+221203.840163,+259709.553102+221203.840163i,+109219.518763,+132352.734116,+109219.518763+132352.734116j,+54976.8743682,+75103.4143151,+54976.8743682+75103.4143151j,+423905.946234,+428659.988593,+423905.946234+428659.988593i
2001-08-01 13:00:09.016000 PDT,+259621.547015,+221214.759815,+259621.547015+221214.759815i,+109127.813156,+132344.179748,+109127.813156+132344.179748j,+54869.6386227,+75100.865,+54869.6386227+75100.865j,+423618.998794,+428659.804563,+423618.998794+428659.804563i
2001-08-01 13:00:09.018000 PDT,+259534.087406,+221225.851015,+259534.087406+221225.851015i,+109036.645968,+132335.938468,+109036.645968+132335.938468j,+54763.0378669,+75098.6433071,+54763.0378669+75098.6433071j,+423333.77124,+428660.43279,+423333.77124+428660.43279i
2001-08-01 13:00:09.020000 PDT,+259447.160176,+221237.113417,+259447.160176+221237.113417i,+108946.003989,+132328.004398,+108946.003989+132328.004398j,+54657.0587569,+75096.746305,+54657.0587569+75096.746305j,+423050.222922,+428661.86412,+423050.222922+428661.86412i
2001-08-01 13:00:09.022000 PDT,+259360.752749,+221248.54721,+259360.752749+221248.54721i,+108855.874656,+132320.372251,+108855.874656+132320.372251j,+54551.6891165,+75095.1711881,+54551.6891165+75095.1711881j,+422768.316522,+428664.090649,+422768.316522+428664.090649i
2001-08-01 13:00:09.024000 PDT,+259274.854123,+221260.15296,+259274.854123+221260.15296i,+108766.246245,+132313.037357,+108766.246245+132313.037357j,+54446.91799,+75093.915149,+54446.91799+75093.915149j,+422488.018358,+428667.105466,+422488.018358+428667.105466i
2001-08-01 13:00:09.026000 PDT,+259189.454959,+221271.931394,+259189.454959+221271.931394i,+108677.108021,+132305.995598,+108677.108021+132305.995598j,+54342.7356763,+75092.9753079,+54342.7356763+75092.9753079j,+422209.298657,+428670.9023,+422209.298657+428670.9023i
2001-08-01 13:00:09.028000 PDT,+259104.547559,+221283.883279,+259104.547559+221283.883279i,+108588.450403,+132299.24341,+108588.450403+132299.24341j,+54239.1337488,+75092.3486497,+54239.1337488+75092.3486497j,+421932.131711,+428675.475339,+421932.131711+428675.475339i
2001-08-01 13:00:09.030000 PDT,+259020.125885,+221296.009249,+259020.125885+221296.009249i,+108500.265072,+132292.777681,+108500.265072+132292.777681j,+54136.1050318,+75092.0320034,+54136.1050318+75092.0320034j,+421656.495989,+428680.818934,+421656.495989+428680.818934i
2001-08-01 13:00:09.032000 PDT,+258936.185493,+221308.309684,+258936.185493+221308.309684i,+108412.545105,+132286.595741,+108412.545105+132286.595741j,+54033.6436958,+75092.0220028,+54033.6436958+75092.0220028j,+421382.374293,+428686.927428,+421382.374293+428686.927428i
2001-08-01 13:00:09.034000 PDT,+258852.72347,+221320.78463,+258852.72347+221320.78463i,+108325.285031,+132280.695284,+108325.285031+132280.695284j,+53931.7451863,+75092.3151117,+53931.7451863+75092.3151117j,+421109.753687,+428693.795026,+421109.753687+428693.795026i
2001-08-01 13:00:09.036000 PDT,+258769.738375,+221333.433684,+258769.738375+221333.433684i,+108238.480893,+132275.074288,+108238.480893+132275.074288j,+53830.4062641,+75092.9076343,+53830.4062641+75092.9076343j,+420838.625532,+428701.415606,+420838.625532+428701.415606i
2001-08-01 13:00:09.038000 PDT,+258687.230136,+221346.25595,+258687.230136+221346.25595i,+108152.130303,+132269.730945,+108152.130303+132269.730945j,+53729.6250442,+75093.7957015,+53729.6250442+75093.7957015j,+420568.985483,+428709.782597,+420568.985483+428709.782597i
2001-08-01 13:00:09.040000 PDT,+258605.199943,+221359.250006,+258605.199943+221359.250006i,+108066.232421,+132264.663624,+108066.232421+132264.663624j,+53629.4009772,+75094.975359,+53629.4009772+75094.975359j,+420300.833341,+428718.888989,+420300.833341+428718.888989i
2001-08-01 13:00:09.042000 PDT,+258523.65018,+221372.413843,+258523.65018+221372.413843i,+107980.787966,+132259.870725,+107980.787966+132259.870725j,+53529.7348402,+75096.4425118,+53529.7348402+75096.4425118j,+420034.172987,+428728.727079,+420034.172987+428728.727079i
2001-08-01 13:00:09.044000 PDT,+258442.584322,+221385.744887,+258442.584322+221385.744887i,+107895.79918,+132255.350655,+107895.79918+132255.350655j,+53430.6287701,+75098.192972,+53430.6287701+75098.192972j,+419769.012272,+428739.288514,+419769.012272+428739.288514i
2001-08-01 13:00:09.046000 PDT,+258362.006793,+221399.239997,+258362.006793+221399.239997i,+107811.269746,+132251.101748,+107811.269746+132251.101748j,+53332.0862082,+75100.2224861,+53332.0862082+75100.2224861j,+419505.362748,+428750.564231,+419505.362748+428750.564231i
2001-08-01 13:00:09.048000 PDT,+258281.922925,+221412.895469,+258281.922925+221412.895469i,+107727.204737,+132247.122169,+107727.204737+132247.122169j,+53234.1118826,+75102.5266943,+53234.1118826+75102.5266943j,+419243.239544,+428762.544332,+419243.239544+428762.544332i
2001-08-01 13:00:09.050000 PDT,+258202.338812,+221426.707079,+258202.338812+221426.707079i,+107643.610465,+132243.409908,+107643.610465+132243.409908j,+53136.7117703,+75105.1011788,+53136.7117703+75105.1011788j,+418982.661047,+428775.218166,+418982.661047+428775.218166i
2001-08-01 13:00:09.052000 PDT,+258123.26124,+221440.670116,+258123.26124+221440.670116i,+107560.494435,+132239.962668,+107560.494435+132239.962668j,+53039.8930195,+75107.9414103,+53039.8930195+75107.9414103j,+418723.648695,+428788.574194,+418723.648695+428788.574194i
2001-08-01 13:00:09.054000 PDT,+258044.697589,+221454.779414,+258044.697589+221454.779414i,+107477.865163,+132236.77788,+107477.865163+132236.77788j,+52943.6639067,+75111.0427686,+52943.6639067+75111.0427686j,+418466.226659,+428802.600063,+418466.226659+428802.600063i
2001-08-01 13:00:09.056000 PDT,+257966.655761,+221469.029415,+257966.655761+221469.029415i,+107395.732054,+132233.852617,+107395.732054+132233.852617j,+52848.0336843,+75114.4005362,+52848.0336843+75114.4005362j,+418210.4215,+428817.282568,+418210.4215+428817.282568i
2001-08-01 13:00:09.058000 PDT,+257889.144046,+221483.41421,+257889.144046+221483.41421i,+107314.105262,+132231.183648,+107314.105262+132231.183648j,+52753.0125426,+75118.0098418,+52753.0125426+75118.0098418j,+417956.261851,+428832.6077,+417956.261851+428832.6077i
2001-08-01 13:00:09.060000 PDT,+257812.171086,+221497.927592,+257812.171086+221497.927592i,+107232.99553,+132228.767372,+107232.99553+132228.767372j,+52658.6114581,+75121.865678,+52658.6114581+75121.865678j,+417703.778074,+428848.560642,+417703.778074+428848.560642i
2001-08-01 13:00:09.062000 PDT,+257735.745779,+221512.563108,+257735.745779+221512.563108i,+107152.414063,+132226.599854,+107152.414063+132226.599854j,+52564.8420684,+75125.9628973,+52564.8420684+75125.9628973j,+417453.00191,+428865.125859,+417453.00191+428865.125859i
2001-08-01 13:00:09.064000 PDT,+257659.877184,+221527.314108,+257659.877184+221527.314108i,+107072.372355,+132224.67681,+107072.372355+132224.67681j,+52471.7165272,+75130.2961334,+52471.7165272+75130.2961334j,+417203.966066,+428882.287052,+417203.966066+428882.287052i
2001-08-01 13:00:09.066000 PDT,+257584.574428,+221542.173797,+257584.574428+221542.173797i,+106992.882045,+132222.993659,+106992.882045+132222.993659j,+52379.2473596,+75134.8598638,+52379.2473596+75134.8598638j,+416956.703833,+428900.02732,+416956.703833+428900.02732i
2001-08-01 13:00:09.068000 PDT,+257509.846677,+221557.135274,+257509.846677+221557.135274i,+106913.954791,+132221.545518,+106913.954791+132221.545518j,+52287.4472761,+75139.6483697,+52287.4472761+75139.6483697j,+416711.248744,+428918.329162,+416711.248744+428918.329162i
2001-08-01 13:00:09.070000 PDT,+257435.702956,+221572.191585,+257435.702956+221572.191585i,+106835.602094,+132220.327269,+106835.602094+132220.327269j,+52196.3290582,+75144.6557303,+52196.3290582+75144.6557303j,+416467.634107,+428937.174584,+416467.634107+428937.174584i
2001-08-01 13:00:09.072000 PDT,+257362.152159,+221587.33575,+257362.152159+221587.33575i,+106757.835232,+132219.333561,+106757.835232+132219.333561j,+52105.9053679,+75149.8758345,+52105.9053679+75149.8758345j,+416225.892759,+428956.545145,+416225.892759+428956.545145i
